Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/24/2025,01/24/2025,AMAZON MKTPL*ZG9LN07W0,Shopping,Sale,-11.29,
01/23/2025,01/23/2025,AUTOMATIC PAYMENT - THANK,,Payment,1097.84,
01/19/2025,01/20/2025,BANFIELD-PET*WPPAYMENT,Bills & Utilities,Sale,-72.25,
01/10/2025,01/10/2025,UBER   *EATS,Food & Drink,Sale,-35.51,
01/09/2025,01/10/2025,APPLE.COM/US,Shopping,Sale,-699.00,
01/07/2025,01/08/2025,HERTZTOLL 545161842,Travel,Sale,-1.22,
01/08/2025,01/08/2025,UBER   *EATS,Food & Drink,Sale,-32.27,
01/06/2025,01/07/2025,UBER   *EATS,Food & Drink,Sale,-58.31,
01/06/2025,01/06/2025,LYFT   *1 RIDE 01-04,Travel,Sale,-10.58,
01/05/2025,01/06/2025,ENTERPRISE RENT-A-CAR,Travel,Sale,-49.36,
01/04/2025,01/05/2025,STATE PARKS DISCOVER PAS,Bills & Utilities,Sale,-35.00,
12/28/2024,12/29/2024,HERTZTOLL 545161842,Travel,Sale,-207.91,
12/27/2024,12/29/2024,ALAMO RENT-A-CAR,Travel,Sale,-487.55,
12/26/2024,12/26/2024,LYFT   *RIDE TUE 10AM,Travel,Sale,-131.16,
12/23/2024,12/25/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/24/2024,12/25/2024,MTA*NYCT PAYGO,Travel,Sale,-8.50,
12/24/2024,12/25/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/24/2024,12/25/2024,DELTA AIR   Baggage Fee,Travel,Sale,-35.00,
12/24/2024,12/25/2024,MTA*NYCT PAYGO,Travel,Sale,-2.10,
12/24/2024,12/25/2024,DELTA AIR   Baggage Fee,Travel,Sale,-80.00,
12/24/2024,12/25/2024,DELTA AIR   Baggage Fee,Travel,Sale,-35.00,
12/24/2024,12/25/2024,DELTA AIR   Baggage Fee,Travel,Sale,-35.00,
12/24/2024,12/25/2024,DELTA AIR   Baggage Fee,Travel,Sale,-35.00,
12/24/2024,12/25/2024,NJT RAIL MY-TIX,Travel,Sale,-12.00,
12/23/2024,12/25/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/24/2024,12/25/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/24/2024,12/25/2024,MTA*NYCT PAYGO,Travel,Sale,-8.50,
12/24/2024,12/25/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/23/2024,12/24/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/23/2024,12/24/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/23/2024,12/24/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/23/2024,12/24/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/23/2024,12/24/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/23/2024,12/24/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/22/2024,12/23/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/22/2024,12/23/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/22/2024,12/23/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/22/2024,12/23/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/21/2024,12/23/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/22/2024,12/23/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/21/2024,12/23/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/21/2024,12/23/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/22/2024,12/23/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/21/2024,12/23/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/21/2024,12/23/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/21/2024,12/23/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/21/2024,12/22/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/21/2024,12/22/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/21/2024,12/22/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/21/2024,12/22/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/22/2024,12/22/2024,STATUE CRUISES,Travel,Sale,-125.00,
12/19/2024,12/22/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/19/2024,12/22/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/19/2024,12/20/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/19/2024,12/20/2024,BANFIELD-PET*WPPAYMENT,Bills & Utilities,Sale,-72.25,
12/19/2024,12/20/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/19/2024,12/20/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/19/2024,12/20/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
12/18/2024,12/19/2024,MTA*NYCT PAYGO,Travel,Sale,-8.50,
12/18/2024,12/19/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/18/2024,12/19/2024,MTA*NYCT PAYGO,Travel,Sale,-8.50,
12/18/2024,12/19/2024,HERTZ #0190310,Travel,Sale,-87.35,
12/19/2024,12/19/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/15/2024,12/16/2024,MBTA SAVIN HILL,Travel,Sale,-2.40,
12/15/2024,12/16/2024,MBTA SAVIN HILL,Travel,Sale,-2.40,
12/15/2024,12/16/2024,MBTA SAVIN HILL,Travel,Sale,-2.40,
12/15/2024,12/16/2024,MBTA SAVIN HILL,Travel,Sale,-2.40,
12/15/2024,12/16/2024,MBTA SAVIN HILL,Travel,Sale,-2.40,
12/15/2024,12/16/2024,MBTA KENMORE,Travel,Sale,-2.40,
12/15/2024,12/16/2024,MBTA KENMORE,Travel,Sale,-4.80,
12/15/2024,12/16/2024,MBTA SAVIN HILL,Travel,Sale,-2.40,
12/14/2024,12/15/2024,MBTA SAVIN HILL,Travel,Sale,-11.00,
12/14/2024,12/15/2024,COSTCO WHSE #0333,Shopping,Sale,-148.74,
12/14/2024,12/15/2024,MBTA SAVIN HILL,Travel,Sale,-11.00,
12/11/2024,12/11/2024,LYFT   *RIDE MON 4AM,Travel,Sale,-34.69,
12/09/2024,12/11/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/10/2024,12/11/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/09/2024,12/11/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/09/2024,12/11/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/09/2024,12/11/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/10/2024,12/11/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/10/2024,12/10/2024,Payment Thank You-Mobile,,Payment,1714.26,
12/09/2024,12/10/2024,DELTA AIR   Baggage Fee,Travel,Sale,-35.00,
12/09/2024,12/10/2024,DELTA AIR   Baggage Fee,Travel,Sale,-35.00,
12/03/2024,12/05/2024,APPLE STORE  #R077,Shopping,Sale,-1199.00,
12/03/2024,12/04/2024,ODOT DMV 503 945 5000,Bills & Utilities,Sale,-483.00,
10/01/2024,11/24/2024,TIKTOK MERCHANT CENTRE,Shopping,Return,39.99,
11/19/2024,11/20/2024,Payment Thank You-Mobile,,Payment,2340.80,
11/19/2024,11/20/2024,BANFIELD-PET*WPPAYMENT,Bills & Utilities,Sale,-72.25,
11/07/2024,11/08/2024,B&amp;H PHOTO MOTO,Shopping,Sale,-1723.00,
11/05/2024,11/06/2024,KING COUNTY RECORDERS,Bills & Utilities,Sale,-71.00,
09/08/2024,11/03/2024,Birkenstock,Shopping,Adjustment,77.45,
10/31/2024,11/01/2024,COSTCO WHSE #0772,Shopping,Sale,-10.82,
10/31/2024,11/01/2024,HERTZ CAR RENTAL,Travel,Sale,-446.46,
10/26/2024,10/27/2024,Payment Thank You-Mobile,,Payment,78.10,
10/24/2024,10/27/2024,SAFEWAY #0400,Groceries,Sale,-22.54,
10/27/2024,10/27/2024,GNC.COM,Groceries,Sale,-144.43,
10/19/2024,10/20/2024,BANFIELD-PET*WPPAYMENT,Bills & Utilities,Sale,-72.25,
10/18/2024,10/18/2024,UBER   *EATS,Food & Drink,Sale,-5.85,
10/18/2024,10/18/2024,Payment Thank You - Web,,Payment,3668.70,
10/14/2024,10/16/2024,TIKTOK SHOP,Shopping,Return,19.36,
