Posted Date,Reference Number,Payee,Address,Amount
05/23/2024,24692164143102279796352,"GOOGLE *Xavier Liard 855-836-3987 CA","855-836-3987  CA ",-3.99
05/21/2024,24231684141837001341319,"SAFEWAY #1073 BEAVERTON OR","BEAVERTON     OR ",-36.60
05/20/2024,13973500020847000056346,"BA ELECTRONIC PAYMENT","",434.63
05/18/2024,24943004139898002014762,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-82.44
05/13/2024,24692164133103946853321,"XFINITY MOBILE 888-936-4968 PA","888-936-4968  PA ",-38.18
05/10/2024,24943004131898002010222,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-52.33
05/10/2024,24692164130101341521728,"COMCAST CABLE COMM 800-COMCAST OR","800-COMCAST   OR ",-25.00
05/08/2024,24492154128713147087923,"PORTLAND GENERAL ELECTRIC800-542-8818 OR","800-542-8818  OR ",-54.01
05/06/2024,24943004127898000090719,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-428.26
05/06/2024,24011344126000023563826,"FAIRYLOOT US HTTPSUS.FAIRYOR","HTTPSUS.FAIRY OR ",-34.90
04/29/2024,24943004120898190209068,"COSTCO GAS #0009 ALOHA OR","ALOHA         OR ",-40.95
04/29/2024,24943004120898002064115,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-91.59
