Posted Date,Reference Number,Payee,Address,Amount
10/23/2024,24943004297078737043489,"COSTCO GAS #0009 ALOHA OR","ALOHA         OR ",-43.86
10/21/2024,29473500020847000049433,"BA ELECTRONIC PAYMENT","",452.10
10/21/2024,29273500020847000056034,"BA ELECTRONIC PAYMENT","",452.10
10/18/2024,24943004292075636208176,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-223.46
10/10/2024,24011344283000057499805,"FAIRYLOOT US HTTPSUS.FAIRYOR","HTTPSUS.FAIRY OR ",34.90
10/07/2024,24011344279000077096066,"FAIRYLOOT US HTTPSUS.FAIRYOR","HTTPSUS.FAIRY OR ",-34.90
10/05/2024,24034544278000758654992,"ASIAN FOOD CENTER BEAVERTON OR","BEAVERTON     OR ",-27.97
10/04/2024,24943004278067041053196,"COSTCO GAS #0009 ALOHA OR","ALOHA         OR ",-37.30
10/04/2024,24943004278067033234242,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-309.66
10/04/2024,74943004278067033234239,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",15.99
09/26/2024,26973500020847000055647,"BA ELECTRONIC PAYMENT","",452.10
