Posted Date,Payee,Amount
04/22/2024,COSTCO WHSE #0009 ALOHA OR,-86.71
04/19/2024,BA ELECTRONIC PAYMENT,60.78
04/12/2024,COSTCO GAS #0009 ALOHA OR,-43.59
04/12/2024,COSTCO WHSE #0009 ALOHA OR,-91.95
04/12/2024,FREETAXUSA.COM 877-2699027 UT,-14.99
04/08/2024,COSTCO WHSE #0009 ALOHA OR,-58.96
04/06/2024,COSTCO GAS #0009 ALOHA OR,-44.00
04/05/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,-34.90
03/25/2024,COSTCO WHSE #0009 ALOHA OR,-59.53
Posted Date,Payee,Amount
08/16/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,34.90
08/05/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,-34.90
Posted Date,Payee,Amount
Posted Date,Payee,Amount
12/21/2024,BA ELECTRONIC PAYMENT,75.45
12/17/2024,COSTCO GAS #0319 DEDHAM MA,-59.65
12/17/2024,COSTCO WHSE #0305 NANUET NY,-84.54
12/13/2024,CWC WDC LLC #1165 WASHINGTON DC,-45.16
12/13/2024,COSTCO WHSE #1120 WASHINGTON DC,-37.77
12/11/2024,COSTCO WHSE #0233 ARLINGTON VA,-107.45
12/11/2024,BA ELECTRONIC PAYMENT,962.11
12/10/2024,PROGRESSIVE INS 800-776-4737 OH,4.57
12/09/2024,COSTCO GAS #0002 PORTLAND OR,-38.29
12/09/2024,COSTCO WHSE #0002 PORTLAND OR,-143.38
12/07/2024,COSTCO GAS #1703 RIDGEFIELD WA,-29.12
12/06/2024,PROGRESSIVE *INSURANCE 800-776-4737 OH,-417.00
12/04/2024,COSTCO WHSE #0002 PORTLAND OR,34.99
12/02/2024,COSTCO WHSE #0009 ALOHA OR,-60.77
11/26/2024,COSTCO GAS #0002 PORTLAND OR,-27.73
11/26/2024,COSTCO WHSE #0002 PORTLAND OR,-205.36
Posted Date,Payee,Amount
02/24/2024,COSTCO WHSE #0009 ALOHA OR,-199.99
02/23/2024,COSTCO WHSE #0009 ALOHA OR,-176.78
