Year,Month,Date,Description,Category,Amount,Type,Bank,Card
2025,January,01/24/2025,AMAZON MKTPL*ZC52M97Z2,,-8.30,Credit,Chase,Prime
2025,January,01/24/2025,AMAZON MKTPL*ZG9LT0301,,-11.50,Credit,Chase,Prime
2025,January,01/20/2025,Amazon.com*Z588965B1,,-29.96,Credit,Chase,Prime
2025,January,01/13/2025,AMAZON MKTPL*Z53Y94NP0,,-9.19,Credit,Chase,Prime
2025,January,01/11/2025,AMAZON MKTPL*ZD14D02Z0,,-37.99,Credit,Chase,Prime
2025,January,01/10/2025,AMAZON MKTPL*ZD4NM8D70,,-12.57,Credit,Chase,Prime
2025,January,01/10/2025,AMAZON MKTPL*ZD4KY88H0,,-35.97,Credit,Chase,Prime
2025,January,01/03/2025,Amazon.com*ZP75C2Q80,,-41.88,Credit,Chase,Prime
2025,January,01/03/2025,AMAZON MKTPL*ZP43E4HE0,,-40.79,Credit,Chase,Prime
2025,January,01/04/2025,AMAZON MKTPL*ZP3QO1NC1,,-85.64,Credit,Chase,Prime
2024,December,12/30/2024,Amazon.com*ZE3CN1HK1,,-38.56,Credit,Chase,Prime
2024,December,12/26/2024,Amazon Prime*Z90D32K91,,-6.99,Credit,Chase,Prime
2024,December,12/20/2024,AMAZON MKTPL*Z10HY3WJ1,,-28.99,Credit,Chase,Prime
2024,December,12/10/2024,Payment Thank You-Mobile,,120.51,Credit,Chase,Prime
2024,December,12/05/2024,AMAZON MKTPL*ZR8F68ZE2,,-10.67,Credit,Chase,Prime
2024,November,11/27/2024,AMAZON MKTPL*Z327D21P0,,-14.89,Credit,Chase,Prime
2024,November,11/26/2024,Amazon Prime*B212I54F3,,-6.99,Credit,Chase,Prime
2024,November,11/25/2024,AMAZON MKTPL*ZG4H54923,,-87.96,Credit,Chase,Prime
2024,November,11/19/2024,Payment Thank You-Mobile,,99.24,Credit,Chase,Prime
2024,November,11/14/2024,AMAZON MKTPL*5P29I1L93,,-104.84,Credit,Chase,Prime
2024,November,11/14/2024,Amazon.com*838782SS3,,-14.95,Credit,Chase,Prime
2024,November,11/10/2024,AMAZON MKTPL*G46WG7083,,-37.97,Credit,Chase,Prime
2024,November,11/04/2024,AMAZON MKTPL*DQ1AD9MY3,,-14.41,Credit,Chase,Prime
2024,September,09/24/2024,REBILL DD *DOORDASHDASHPA,,-9.99,Credit,Chase,Prime
2024,October,10/24/2024,DD *DOORDASHDASHPASS,,9.99,Credit,Chase,Prime
2024,October,10/26/2024,Payment Thank You-Mobile,,498.64,Credit,Chase,Prime
2024,October,10/26/2024,DD *DOORDASHDASHPASS,,9.99,Credit,Chase,Prime
2024,October,10/26/2024,Amazon Prime*JP69E4VN3,,-6.99,Credit,Chase,Prime
2024,October,10/26/2024,DD *DOORDASHDASHPASS,,9.99,Credit,Chase,Prime
2024,October,10/26/2024,DD *DOORDASHDASHPASS,,9.99,Credit,Chase,Prime
2024,October,10/26/2024,DD *DOORDASHDASHPASS,,9.99,Credit,Chase,Prime
2024,October,10/26/2024,DD *DOORDASHDASHPASS,,9.99,Credit,Chase,Prime
2024,October,10/26/2024,DD *DOORDASHDASHPASS,,9.99,Credit,Chase,Prime
2024,October,10/26/2024,DD *DOORDASHDASHPASS,,9.99,Credit,Chase,Prime
2024,October,10/26/2024,DD *DOORDASHDASHPASS,,9.99,Credit,Chase,Prime
2024,October,10/24/2024,DD *DOORDASHDASHPASS,,-9.99,Credit,Chase,Prime
2024,October,10/22/2024,AMAZON MKTPL*BN3LA2V33,,-29.99,Credit,Chase,Prime
2024,October,10/20/2024,Amazon.com*PR1YM31G3,,-5.99,Credit,Chase,Prime
2024,October,10/20/2024,Amazon.com*F75HM4BX3,,-33.94,Credit,Chase,Prime
2024,October,10/17/2024,AMAZON MKTPL*PB9L02VS3,,-26.97,Credit,Chase,Prime
2024,October,10/18/2024,Payment Thank You - Web,,43.98,Credit,Chase,Prime
2024,October,10/15/2024,AMAZON MKTPL*8N5F78TL3,,-84.22,Credit,Chase,Prime
2024,October,10/15/2024,AMAZON MKTPL*XP1ZP8AG3,,-171.03,Credit,Chase,Prime
2024,October,10/11/2024,Amazon.com*IO6O33S33,,-12.98,Credit,Chase,Prime
2024,October,10/09/2024,Amazon.com*N770H2R83,,-21.74,Credit,Chase,Prime
2024,October,10/09/2024,Amazon.com*N10ER7NJ3,,-39.48,Credit,Chase,Prime
2024,October,10/06/2024,AMAZON MKTPL*DV0L85Y13,,-62.31,Credit,Chase,Prime
2024,September,09/24/2024,DD *DOORDASHDASHPASS,,9.99,Credit,Chase,Prime
2024,September,09/30/2024,Amazon.com*PM6FV5Q43,,-29.99,Credit,Chase,Prime
2024,September,09/26/2024,Amazon Prime*E61741EE3,,-6.99,Credit,Chase,Prime
2024,September,09/26/2024,AMAZON MKTPL*ML3G56N63,,-16.99,Credit,Chase,Prime
