Year,Month,Date,Description,Category,Amount,Type,Bank,Card
2025,January,01/24/2025,AMAZON MKTPL*ZG9LN07W0,,-11.29,Credit,Chase,Reserve
2025,January,01/23/2025,AUTOMATIC PAYMENT - THANK,,1097.84,Credit,Chase,Reserve
2025,January,01/19/2025,BANFIELD-PET*WPPAYMENT,,-72.25,Credit,Chase,Reserve
2025,January,01/10/2025,UBER   *EATS,,-35.51,Credit,Chase,Reserve
2025,January,01/09/2025,APPLE.COM/US,,-699.00,Credit,Chase,Reserve
2025,January,01/07/2025,HERTZTOLL 545161842,,-1.22,Credit,Chase,Reserve
2025,January,01/08/2025,UBER   *EATS,,-32.27,Credit,Chase,Reserve
2025,January,01/06/2025,UBER   *EATS,,-58.31,Credit,Chase,Reserve
2025,January,01/06/2025,LYFT   *1 RIDE 01-04,,-10.58,Credit,Chase,Reserve
2025,January,01/05/2025,ENTERPRISE RENT-A-CAR,,-49.36,Credit,Chase,Reserve
2025,January,01/04/2025,STATE PARKS DISCOVER PAS,,-35.00,Credit,Chase,Reserve
2024,December,12/28/2024,HERTZTOLL 545161842,,-207.91,Credit,Chase,Reserve
2024,December,12/27/2024,ALAMO RENT-A-CAR,,-487.55,Credit,Chase,Reserve
2024,December,12/26/2024,LYFT   *RIDE TUE 10AM,,-131.16,Credit,Chase,Reserve
2024,December,12/23/2024,MTA*NYCT PAYGO,,-2.90,Credit,Chase,Reserve
2024,December,12/24/2024,MTA*NYCT PAYGO,,-8.50,Credit,Chase,Reserve
2024,December,12/24/2024,MTA*NYCT PAYGO,,-2.90,Credit,Chase,Reserve
2024,December,12/24/2024,DELTA AIR   Baggage Fee,,-35.00,Credit,Chase,Reserve
2024,December,12/24/2024,MTA*NYCT PAYGO,,-2.10,Credit,Chase,Reserve
2024,December,12/24/2024,DELTA AIR   Baggage Fee,,-80.00,Credit,Chase,Reserve
2024,December,12/24/2024,DELTA AIR   Baggage Fee,,-35.00,Credit,Chase,Reserve
2024,December,12/24/2024,DELTA AIR   Baggage Fee,,-35.00,Credit,Chase,Reserve
2024,December,12/24/2024,DELTA AIR   Baggage Fee,,-35.00,Credit,Chase,Reserve
2024,December,12/24/2024,NJT RAIL MY-TIX,,-12.00,Credit,Chase,Reserve
2024,December,12/23/2024,MTA*NYCT PAYGO,,-2.90,Credit,Chase,Reserve
2024,December,12/24/2024,MTA*NYCT PAYGO,,-2.90,Credit,Chase,Reserve
2024,December,12/24/2024,MTA*NYCT PAYGO,,-8.50,Credit,Chase,Reserve
2024,December,12/24/2024,MTA*NYCT PAYGO,,-2.90,Credit,Chase,Reserve
2024,December,12/23/2024,MTA*NYCT PAYGO,,-2.90,Credit,Chase,Reserve
2024,December,12/23/2024,PATH TAPP PAYGO CP,,-2.75,Credit,Chase,Reserve
