Year,Month,Date,Description,Category,Amount,Type,Bank,Card
2025,January,01/25/2025,apple store,shopping,-2.98,Credit,Bilt,Bilt
2025,January,01/25/2025,xfinity internet,utility,-43.0,Credit,Bilt,Bilt
2025,January,01/21/2025,apple store,shopping,-9.99,Credit,Bilt,Bilt
2025,January,01/14/2025,transfer,transfer,2472.93,Credit,Bilt,Bilt
2025,January,01/11/2025,apple store,shopping,-5.99,Credit,Bilt,Bilt
2025,January,01/07/2025,visible,utility,-25.0,Credit,Bilt,Bilt
2025,January,01/07/2025,visible,utility,-25.0,Credit,Bilt,Bilt
2025,January,01/04/2025,rent,utility,-2261.78,Credit,Bilt,Bilt
2025,January,01/02/2025,pge,utility,-88.59,Credit,Bilt,Bilt
2024,December,12/31/2024,walgreens,shopping,-8.6,Credit,Bilt,Bilt
2024,December,12/25/2024,xfinity internet,utility,-40.0,Credit,Bilt,Bilt
2024,December,12/25/2024,apple store,shopping,-1.99,Credit,Bilt,Bilt
2024,December,12/21/2024,apple store,shopping,-9.99,Credit,Bilt,Bilt
2024,December,12/12/2024,apple store,shopping,-5.99,Credit,Bilt,Bilt
2024,December,12/10/2024,transfer,transfer,2389.67,Credit,Bilt,Bilt
2024,December,12/07/2024,visible,utility,-25.0,Credit,Bilt,Bilt
2024,December,12/07/2024,visible,utility,-25.0,Credit,Bilt,Bilt
2024,December,12/03/2024,rent,utility,-2272.21,Credit,Bilt,Bilt
2024,December,12/02/2024,transfer,transfer,2485.32,Credit,Bilt,Bilt
2024,December,12/02/2024,pge,utility,-67.46,Credit,Bilt,Bilt
2024,November,11/25/2024,apple store,shopping,-1.99,Credit,Bilt,Bilt
2024,November,11/25/2024,xfinity internet,utility,-48.53,Credit,Bilt,Bilt
2024,November,11/21/2024,apple store,shopping,-9.99,Credit,Bilt,Bilt
2024,November,11/16/2024,apple store,shopping,-5.99,Credit,Bilt,Bilt
2024,November,11/13/2024,transfer,transfer,25.0,Credit,Bilt,Bilt
2024,November,11/11/2024,apple store,shopping,-5.99,Credit,Bilt,Bilt
2024,November,11/11/2024,xfinity mobile,utility,-40.26,Credit,Bilt,Bilt
2024,November,11/07/2024,visible,utility,-25.0,Credit,Bilt,Bilt
2024,November,11/07/2024,visible,utility,-5.0,Credit,Bilt,Bilt
2024,November,11/05/2024,rent,utility,-2240.55,Credit,Bilt,Bilt
2024,November,11/02/2024,bilt store,shopping,-40.0,Credit,Bilt,Bilt
2024,November,11/01/2024,pge,utility,-75.04,Credit,Bilt,Bilt
2024,October,10/23/2024,apple store,shopping,-1.99,Credit,Bilt,Bilt
2024,October,10/21/2024,apple store,shopping,-9.99,Credit,Bilt,Bilt
2024,October,10/18/2024,transfer,transfer,412.68,Credit,Bilt,Bilt
2024,October,10/16/2024,apple store,shopping,-5.99,Credit,Bilt,Bilt
2024,October,10/12/2024,xfinity mobile,utility,-68.32,Credit,Bilt,Bilt
2024,October,10/11/2024,apple store,shopping,-5.99,Credit,Bilt,Bilt
2024,October,10/07/2024,rent,utility,-201.65,Credit,Bilt,Bilt
2024,October,10/03/2024,apple store,shopping,-1.99,Credit,Bilt,Bilt
2024,October,10/01/2024,pge,utility,-77.25,Credit,Bilt,Bilt
2024,October,10/01/2024,rent,utility,-50.0,Credit,Bilt,Bilt
2024,September,09/29/2024,mcdonald's,dining,-1.49,Credit,Bilt,Bilt
2024,April,04/22/2024,costco,grocery,-86.71,Credit,BofA,Custom
2024,April,04/19/2024,transfer,transfer,60.78,Credit,BofA,Custom
2024,April,04/12/2024,costco,grocery,-43.59,Credit,BofA,Custom
2024,April,04/12/2024,costco,grocery,-91.95,Credit,BofA,Custom
2024,April,04/12/2024,free tax usa,misc,-14.99,Credit,BofA,Custom
2024,April,04/08/2024,costco,grocery,-58.96,Credit,BofA,Custom
2024,April,04/06/2024,costco,grocery,-44.0,Credit,BofA,Custom
2024,April,04/05/2024,fairyloot,subscription,-34.9,Credit,BofA,Custom
2024,March,03/25/2024,costco,grocery,-59.53,Credit,BofA,Custom
2024,August,08/16/2024,fairyloot,subscription,34.9,Credit,BofA,Custom
2024,August,08/05/2024,fairyloot,subscription,-34.9,Credit,BofA,Custom
2024,December,12/21/2024,transfer,transfer,75.45,Credit,BofA,Custom
2024,December,12/17/2024,costco,grocery,-59.65,Credit,BofA,Custom
2024,December,12/17/2024,costco,grocery,-84.54,Credit,BofA,Custom
2024,December,12/13/2024,gas,gas,-45.16,Credit,BofA,Custom
2024,December,12/13/2024,costco,grocery,-37.77,Credit,BofA,Custom
2024,December,12/11/2024,costco,grocery,-107.45,Credit,BofA,Custom
2024,December,12/11/2024,transfer,transfer,962.11,Credit,BofA,Custom
2024,December,12/10/2024,progressive,utility,4.57,Credit,BofA,Custom
2024,December,12/09/2024,costco,grocery,-38.29,Credit,BofA,Custom
2024,December,12/09/2024,costco,grocery,-143.38,Credit,BofA,Custom
2024,December,12/07/2024,costco,grocery,-29.12,Credit,BofA,Custom
2024,December,12/06/2024,progressive,utility,-417.0,Credit,BofA,Custom
2024,December,12/04/2024,costco,grocery,34.99,Credit,BofA,Custom
2024,December,12/02/2024,costco,grocery,-60.77,Credit,BofA,Custom
2024,November,11/26/2024,costco,grocery,-27.73,Credit,BofA,Custom
2024,November,11/26/2024,costco,grocery,-205.36,Credit,BofA,Custom
2024,February,02/24/2024,costco,grocery,-199.99,Credit,BofA,Custom
2024,February,02/23/2024,costco,grocery,-176.78,Credit,BofA,Custom
2024,February,02/19/2024,transfer,transfer,307.28,Credit,BofA,Custom
2024,February,02/10/2024,costco,grocery,-699.99,Credit,BofA,Custom
2024,February,02/05/2024,fairyloot,subscription,-34.9,Credit,BofA,Custom
2025,January,01/21/2025,costco,grocery,-79.99,Credit,BofA,Custom
2025,January,01/21/2025,transfer,transfer,254.55,Credit,BofA,Custom
2025,January,01/14/2025,costco,grocery,-339.85,Credit,BofA,Custom
2025,January,01/14/2025,costco,grocery,29.99,Credit,BofA,Custom
2025,January,01/14/2025,costco,grocery,-1.99,Credit,BofA,Custom
2025,January,01/10/2025,costco,grocery,-37.14,Credit,BofA,Custom
2025,January,01/10/2025,costco,grocery,-80.97,Credit,BofA,Custom
2025,January,01/10/2025,costco,grocery,-2.49,Credit,BofA,Custom
2025,January,01/06/2025,costco,grocery,-42.91,Credit,BofA,Custom
2025,January,01/03/2025,costco,grocery,-33.57,Credit,BofA,Custom
2025,January,01/03/2025,costco,grocery,-78.57,Credit,BofA,Custom
2024,December,12/31/2024,costco,grocery,-44.78,Credit,BofA,Custom
2024,December,12/31/2024,costco,grocery,-67.44,Credit,BofA,Custom
2024,December,12/28/2024,safeway,grocery,-30.56,Credit,BofA,Custom
2024,July,07/12/2024,fairyloot,subscription,34.9,Credit,BofA,Custom
2024,July,07/05/2024,fairyloot,subscription,-34.9,Credit,BofA,Custom
2024,June,06/19/2024,transfer,transfer,250.8,Credit,BofA,Custom
2024,June,06/19/2024,transfer,transfer,888.25,Credit,BofA,Custom
2024,June,06/12/2024,xfinity mobile,utility,-54.18,Credit,BofA,Custom
2024,June,06/10/2024,xfinity internet,utility,-30.0,Credit,BofA,Custom
2024,June,06/07/2024,fairyloot,subscription,-38.0,Credit,BofA,Custom
2024,June,06/04/2024,pge,utility,-29.92,Credit,BofA,Custom
2024,June,06/03/2024,costco,grocery,-44.55,Credit,BofA,Custom
2024,May,05/28/2024,steam,shopping,-7.99,Credit,BofA,Custom
2024,May,05/27/2024,gas,gas,-38.17,Credit,BofA,Custom
2024,May,05/27/2024,steam,shopping,-7.99,Credit,BofA,Custom
2024,March,03/19/2024,transfer,transfer,1111.66,Credit,BofA,Custom
2024,February,02/29/2024,fairyloot,subscription,-37.9,Credit,BofA,Custom
2024,February,02/27/2024,costco,grocery,-22.88,Credit,BofA,Custom
2024,May,05/23/2024,google xavier liard,misc,-3.99,Credit,BofA,Custom
2024,May,05/21/2024,safeway,grocery,-36.6,Credit,BofA,Custom
2024,May,05/20/2024,transfer,transfer,434.63,Credit,BofA,Custom
2024,May,05/18/2024,costco,grocery,-82.44,Credit,BofA,Custom
2024,May,05/13/2024,xfinity mobile,utility,-38.18,Credit,BofA,Custom
2024,May,05/10/2024,costco,grocery,-52.33,Credit,BofA,Custom
2024,May,05/10/2024,xfinity internet,utility,-25.0,Credit,BofA,Custom
2024,May,05/08/2024,pge,utility,-54.01,Credit,BofA,Custom
2024,May,05/06/2024,costco,grocery,-428.26,Credit,BofA,Custom
2024,May,05/06/2024,fairyloot,subscription,-34.9,Credit,BofA,Custom
2024,April,04/29/2024,costco,grocery,-40.95,Credit,BofA,Custom
2024,April,04/29/2024,costco,grocery,-91.59,Credit,BofA,Custom
2024,November,11/18/2024,costco,grocery,-34.08,Credit,BofA,Custom
2024,November,11/11/2024,costco,grocery,-184.39,Credit,BofA,Custom
2024,November,11/01/2024,costco,grocery,-30.73,Credit,BofA,Custom
2024,November,11/01/2024,costco,grocery,-97.9,Credit,BofA,Custom
2024,November,11/01/2024,costco,grocery,-6.29,Credit,BofA,Custom
2024,October,10/23/2024,costco,grocery,-43.86,Credit,BofA,Custom
2024,October,10/21/2024,transfer,transfer,452.1,Credit,BofA,Custom
2024,October,10/21/2024,transfer,transfer,452.1,Credit,BofA,Custom
2024,October,10/18/2024,costco,grocery,-223.46,Credit,BofA,Custom
2024,October,10/10/2024,fairyloot,subscription,34.9,Credit,BofA,Custom
2024,October,10/07/2024,fairyloot,subscription,-34.9,Credit,BofA,Custom
2024,October,10/05/2024,asian family market,grocery,-27.97,Credit,BofA,Custom
2024,October,10/04/2024,costco,grocery,-37.3,Credit,BofA,Custom
2024,October,10/04/2024,costco,grocery,-309.66,Credit,BofA,Custom
2024,October,10/04/2024,costco,grocery,15.99,Credit,BofA,Custom
2024,September,09/26/2024,transfer,transfer,452.1,Credit,BofA,Custom
2024,September,09/23/2024,costco,grocery,-23.56,Credit,BofA,Custom
2024,September,09/23/2024,costco,grocery,-150.15,Credit,BofA,Custom
2024,September,09/23/2024,costco,grocery,-51.94,Credit,BofA,Custom
2024,September,09/23/2024,costco,grocery,19.99,Credit,BofA,Custom
2024,September,09/23/2024,costco,grocery,39.99,Credit,BofA,Custom
2024,September,09/21/2024,costco,grocery,-38.62,Credit,BofA,Custom
2024,September,09/19/2024,costco,grocery,-17.99,Credit,BofA,Custom
2024,September,09/16/2024,costco,grocery,-34.48,Credit,BofA,Custom
2024,September,09/16/2024,costco,grocery,-245.33,Credit,BofA,Custom
2024,September,09/16/2024,costco,grocery,49.99,Credit,BofA,Custom
2024,September,09/12/2024,transfer,transfer,242.96,Credit,BofA,Custom
2024,September,09/07/2024,costco,grocery,-27.18,Credit,BofA,Custom
2024,September,09/07/2024,costco,grocery,-140.89,Credit,BofA,Custom
2024,September,09/05/2024,fairyloot,subscription,-34.9,Credit,BofA,Custom
2024,September,09/04/2024,costco,grocery,-39.99,Credit,BofA,Custom
2025,January,01/24/2025,big fish games,shopping,-2.99,Credit,Chase,Freedom
2025,January,01/24/2025,mcdonald's,dining,-1.0,Credit,Chase,Freedom
2025,January,01/23/2025,mcdonald's,dining,-1.49,Credit,Chase,Freedom
2025,January,01/23/2025,usps,shopping,-14.6,Credit,Chase,Freedom
2025,January,01/23/2025,mcdonald's,dining,-3.5,Credit,Chase,Freedom
2025,January,01/23/2025,mcdonald's,dining,-3.99,Credit,Chase,Freedom
2025,January,01/24/2025,getaway,travel,-144.51,Credit,Chase,Freedom
2025,January,01/22/2025,mcdonald's,dining,-1.0,Credit,Chase,Freedom
2025,January,01/20/2025,fred meyer,grocery,-18.46,Credit,Chase,Freedom
2025,January,01/21/2025,target,grocery,-48.98,Credit,Chase,Freedom
2025,January,01/21/2025,mcdonald's,dining,-2.39,Credit,Chase,Freedom
2025,January,01/21/2025,mcdonald's,dining,-3.99,Credit,Chase,Freedom
2025,January,01/21/2025,target,grocery,-24.49,Credit,Chase,Freedom
2025,January,01/18/2025,h mart,grocery,-12.19,Credit,Chase,Freedom
2025,January,01/17/2025,asian family market,grocery,-5.99,Credit,Chase,Freedom
2025,January,01/17/2025,usps,shopping,-1.32,Credit,Chase,Freedom
2025,January,01/17/2025,new seasons,grocery,-23.98,Credit,Chase,Freedom
2025,January,01/17/2025,king county recorders,misc,-17.0,Credit,Chase,Freedom
2025,January,01/17/2025,bubble n tea,dining,-6.0,Credit,Chase,Freedom
2025,January,01/15/2025,double mountain brew,dining,-24.0,Credit,Chase,Freedom
2025,January,01/15/2025,nexus mods,shopping,-8.99,Credit,Chase,Freedom
2025,January,01/13/2025,mcdonald's,dining,-1.09,Credit,Chase,Freedom
2025,January,01/13/2025,sierra,shopping,59.99,Credit,Chase,Freedom
2025,January,01/13/2025,mcdonald's,dining,-1.62,Credit,Chase,Freedom
2025,January,01/13/2025,mcdonald's,dining,-3.25,Credit,Chase,Freedom
2025,January,01/13/2025,target,grocery,-12.59,Credit,Chase,Freedom
2025,January,01/12/2025,sierra,shopping,-119.98,Credit,Chase,Freedom
2025,January,01/12/2025,target,grocery,-3.99,Credit,Chase,Freedom
2025,January,01/12/2025,target,grocery,-31.98,Credit,Chase,Freedom
2025,January,01/10/2025,mcdonald's,dining,-1.0,Credit,Chase,Freedom
2025,January,01/11/2025,goodtogo train,travel,-13.0,Credit,Chase,Freedom
2025,January,01/10/2025,progressive,utility,-61.4,Credit,Chase,Freedom
2025,January,01/09/2025,costco,grocery,-6.97,Credit,Chase,Freedom
2025,January,01/09/2025,litjoy,shopping,-188.0,Credit,Chase,Freedom
2025,January,01/08/2025,birrieria pdx,dining,-29.0,Credit,Chase,Freedom
2025,January,01/06/2025,safeway,grocery,-4.99,Credit,Chase,Freedom
2025,January,01/05/2025,dutch bros,dining,-13.93,Credit,Chase,Freedom
2025,January,01/06/2025,airport parking,travel,-24.0,Credit,Chase,Freedom
2025,January,01/05/2025,uber,travel,-12.93,Credit,Chase,Freedom
2025,January,01/04/2025,standford's restaurant,dining,-222.11,Credit,Chase,Freedom
2025,January,01/04/2025,miro tea,dining,-15.72,Credit,Chase,Freedom
2025,January,01/03/2025,bellevue,shopping,158.69,Credit,Chase,Freedom
2025,January,01/02/2025,barnes & noble,shopping,-35.86,Credit,Chase,Freedom
2025,January,01/04/2025,panda express,dining,-41.71,Credit,Chase,Freedom
2025,January,01/02/2025,barnes & noble,shopping,-35.86,Credit,Chase,Freedom
2025,January,01/02/2025,disney store,shopping,-13.06,Credit,Chase,Freedom
2025,January,01/03/2025,saars,grocery,-6.6,Credit,Chase,Freedom
2025,January,01/03/2025,parking,travel,-5.0,Credit,Chase,Freedom
2025,January,01/03/2025,bellevue,shopping,-177.94,Credit,Chase,Freedom
2025,January,01/03/2025,bellevue,shopping,-126.95,Credit,Chase,Freedom
2025,January,01/03/2025,parking,travel,-4.0,Credit,Chase,Freedom
2025,January,01/03/2025,parking,travel,-2.75,Credit,Chase,Freedom
2025,January,01/04/2025,parking,travel,-9.0,Credit,Chase,Freedom
2025,January,01/03/2025,tj maxx,shopping,-33.62,Credit,Chase,Freedom
2025,January,01/02/2025,tj maxx,shopping,-5.49,Credit,Chase,Freedom
2025,January,01/02/2025,mcdonald's,dining,-1.62,Credit,Chase,Freedom
2025,January,01/02/2025,seattle premium outlets,shopping,-109.09,Credit,Chase,Freedom
2025,January,01/02/2025,jade garden,dining,-39.76,Credit,Chase,Freedom
2025,January,01/02/2025,mcdonald's,dining,-5.66,Credit,Chase,Freedom
2025,January,01/02/2025,kinokuniya,shopping,-22.06,Credit,Chase,Freedom
2025,January,01/01/2025,safeway,grocery,-9.49,Credit,Chase,Freedom
2025,January,01/02/2025,abercrombie,shopping,-8.73,Credit,Chase,Freedom
2025,January,01/01/2025,saars,grocery,-10.51,Credit,Chase,Freedom
2025,January,01/01/2025,jersey mikes,dining,-23.79,Credit,Chase,Freedom
2025,January,01/01/2025,uber,travel,-20.09,Credit,Chase,Freedom
2025,January,01/01/2025,hulu plus,subscription,-1.98,Credit,Chase,Freedom
2024,December,12/31/2024,dutch bros,dining,-21.54,Credit,Chase,Freedom
2024,December,12/31/2024,sierra,shopping,-76.43,Credit,Chase,Freedom
2024,December,12/31/2024,transfer,transfer,2978.42,Credit,Chase,Freedom
2024,December,12/29/2024,bellevue,shopping,-130.48,Credit,Chase,Freedom
2024,December,12/30/2024,seattle flea market,shopping,-11.04,Credit,Chase,Freedom
2024,December,12/30/2024,sui inc,shopping,-8.75,Credit,Chase,Freedom
2024,December,12/29/2024,community markets,shopping,-4.3,Credit,Chase,Freedom
2024,December,12/30/2024,rice & spice,grocery,-3.36,Credit,Chase,Freedom
2024,December,12/29/2024,bellevue,shopping,161.14,Credit,Chase,Freedom
2024,December,12/30/2024,golden age collectables,shopping,-33.11,Credit,Chase,Freedom
2024,December,12/28/2024,parking,travel,-2.74,Credit,Chase,Freedom
2024,December,12/28/2024,goodwill,shopping,-58.41,Credit,Chase,Freedom
2024,December,12/29/2024,t&t supermarket,grocery,-180.1,Credit,Chase,Freedom
2024,December,12/28/2024,parking,travel,-5.5,Credit,Chase,Freedom
2024,December,12/28/2024,safeway,grocery,-6.99,Credit,Chase,Freedom
2024,December,12/28/2024,parking,travel,-2.75,Credit,Chase,Freedom
2024,December,12/28/2024,safeway,grocery,-13.76,Credit,Chase,Freedom
2024,December,12/28/2024,al's music video,shopping,-22.19,Credit,Chase,Freedom
2024,December,12/28/2024,goodwill,shopping,-11.02,Credit,Chase,Freedom
2024,December,12/29/2024,tj maxx,shopping,-23.68,Credit,Chase,Freedom
2024,December,12/29/2024,beecher's,dining,-33.62,Credit,Chase,Freedom
2024,December,12/27/2024,mcdonald's,dining,-5.58,Credit,Chase,Freedom
2024,December,12/28/2024,uwajimaya,grocery,-94.59,Credit,Chase,Freedom
2024,December,12/26/2024,safeway,grocery,-32.13,Credit,Chase,Freedom
2024,December,12/27/2024,dutch bros,dining,-13.4,Credit,Chase,Freedom
2024,December,12/27/2024,parking,travel,-13.0,Credit,Chase,Freedom
2024,December,12/27/2024,mcdonald's,dining,-1.1,Credit,Chase,Freedom
2024,December,12/27/2024,denny's,dining,-23.78,Credit,Chase,Freedom
2024,December,12/27/2024,haidilao,dining,-436.97,Credit,Chase,Freedom
2024,December,12/27/2024,mcdonald's,dining,-4.05,Credit,Chase,Freedom
2024,December,12/28/2024,parking,travel,-12.0,Credit,Chase,Freedom
2024,December,12/26/2024,andreas keller restaurant,dining,-173.5,Credit,Chase,Freedom
2024,December,12/26/2024,munchen haus,dining,60.0,Credit,Chase,Freedom
2024,December,12/25/2024,safeway,grocery,-0.71,Credit,Chase,Freedom
2024,December,12/26/2024,munchen haus,dining,-64.35,Credit,Chase,Freedom
2024,December,12/25/2024,leavenworth shirt company,shopping,-6.51,Credit,Chase,Freedom
2024,December,12/25/2024,out west trading co,shopping,-32.58,Credit,Chase,Freedom
2024,December,12/25/2024,out west trading co,shopping,-18.46,Credit,Chase,Freedom
2024,December,12/25/2024,saars,grocery,-34.93,Credit,Chase,Freedom
2024,December,12/25/2024,leavensworth food stand,dining,-16.0,Credit,Chase,Freedom
2024,December,12/25/2024,copper creek,dining,-14.15,Credit,Chase,Freedom
2024,December,12/23/2024,aritzia,shopping,-7.21,Credit,Chase,Freedom
2024,December,12/24/2024,tj maxx,shopping,-87.09,Credit,Chase,Freedom
2024,December,12/22/2024,daiso,shopping,-7.96,Credit,Chase,Freedom
2024,December,12/22/2024,seabra's,grocery,-27.91,Credit,Chase,Freedom
2024,December,12/23/2024,nyc transit,travel,-2.9,Credit,Chase,Freedom
2024,December,12/22/2024,b&a photo,shopping,-38.1,Credit,Chase,Freedom
2024,December,12/21/2024,muji,shopping,-27.92,Credit,Chase,Freedom
2024,December,12/22/2024,ess a bagel,dining,-26.89,Credit,Chase,Freedom
2024,December,12/20/2024,seabra's,grocery,-3.58,Credit,Chase,Freedom
2024,December,12/19/2024,aritzia,shopping,-176.19,Credit,Chase,Freedom
2024,December,12/21/2024,photo booth,misc,-10.0,Credit,Chase,Freedom
2024,December,12/21/2024,photo booth,misc,-10.0,Credit,Chase,Freedom
2024,December,12/19/2024,da gennaro ristorante,dining,-91.0,Credit,Chase,Freedom
2024,December,12/21/2024,photo booth,misc,-10.0,Credit,Chase,Freedom
2024,December,12/18/2024,h mart,grocery,-10.85,Credit,Chase,Freedom
2024,December,12/16/2024,pinkberry,dining,-8.92,Credit,Chase,Freedom
2024,December,12/17/2024,aldi,grocery,-4.14,Credit,Chase,Freedom
2024,December,12/16/2024,waban,dining,-7.98,Credit,Chase,Freedom
2024,December,12/17/2024,woodbury commons,shopping,-31.24,Credit,Chase,Freedom
2024,December,12/16/2024,chipotle,dining,11.79,Credit,Chase,Freedom
2024,December,12/16/2024,woodbury commons,shopping,-64.97,Credit,Chase,Freedom
2024,December,12/16/2024,shake shack,dining,-34.56,Credit,Chase,Freedom
2024,December,12/16/2024,kung pao wok,dining,-21.28,Credit,Chase,Freedom
2024,December,12/15/2024,la burdick chocolate,dining,-21.67,Credit,Chase,Freedom
2024,December,12/14/2024,beacon hill books,shopping,-50.84,Credit,Chase,Freedom
2024,December,12/13/2024,lazy sister,dining,-106.44,Credit,Chase,Freedom
2024,December,12/12/2024,poppa box,dining,-35.5,Credit,Chase,Freedom
2024,December,12/14/2024,nuts factory,dining,-10.61,Credit,Chase,Freedom
2024,December,12/15/2024,tatte bakery,dining,-15.28,Credit,Chase,Freedom
2024,December,12/13/2024,shoprite,shopping,-8.6,Credit,Chase,Freedom
2024,December,12/12/2024,toll,travel,-7.45,Credit,Chase,Freedom
2024,December,12/13/2024,star osco,gas,-10.66,Credit,Chase,Freedom
2024,December,12/13/2024,rei,shopping,-18.54,Credit,Chase,Freedom
2024,December,12/13/2024,rei,shopping,-30.0,Credit,Chase,Freedom
2024,December,12/13/2024,rei,shopping,-399.7,Credit,Chase,Freedom
2024,December,12/12/2024,billy hicks georgetown,shopping,-18.7,Credit,Chase,Freedom
2024,December,12/13/2024,parking,travel,-2.75,Credit,Chase,Freedom
2024,December,12/11/2024,toll,travel,-2.85,Credit,Chase,Freedom
2024,December,12/11/2024,safeway,grocery,-6.03,Credit,Chase,Freedom
2024,December,12/11/2024,tj maxx,shopping,-76.33,Credit,Chase,Freedom
2024,December,12/09/2024,sumatera restaurant,dining,-64.17,Credit,Chase,Freedom
2024,December,12/10/2024,transfer,transfer,1572.46,Credit,Chase,Freedom
2024,December,12/09/2024,jaybee's,dining,-29.0,Credit,Chase,Freedom
2024,December,12/08/2024,target,grocery,-65.85,Credit,Chase,Freedom
2024,December,12/08/2024,salon nyla,shopping,-295.0,Credit,Chase,Freedom
2024,December,12/07/2024,portland florist,shopping,-8.5,Credit,Chase,Freedom
2024,December,12/07/2024,copper creek,dining,-75.03,Credit,Chase,Freedom
2024,December,12/06/2024,mount rainier park,travel,-30.0,Credit,Chase,Freedom
2024,December,12/07/2024,fred meyer,grocery,-19.47,Credit,Chase,Freedom
2024,December,12/06/2024,dutch bros,dining,-12.22,Credit,Chase,Freedom
2024,December,12/05/2024,daiso,shopping,-1.89,Credit,Chase,Freedom
2024,December,12/05/2024,salon nyla,shopping,-50.0,Credit,Chase,Freedom
2024,December,12/04/2024,mcdonald's,dining,-0.54,Credit,Chase,Freedom
2024,December,12/04/2024,sierra,shopping,-169.93,Credit,Chase,Freedom
2024,December,12/04/2024,mcdonald's,dining,-0.54,Credit,Chase,Freedom
2024,December,12/04/2024,dollar tree,shopping,-5.98,Credit,Chase,Freedom
2024,December,12/04/2024,mcdonald's,dining,-2.17,Credit,Chase,Freedom
2024,December,12/04/2024,mcdonald's,dining,-1.62,Credit,Chase,Freedom
2024,December,12/03/2024,sierra,shopping,-120.01,Credit,Chase,Freedom
2024,December,12/03/2024,target,grocery,-2.99,Credit,Chase,Freedom
2024,December,12/03/2024,costco,grocery,-1.5,Credit,Chase,Freedom
2024,December,12/04/2024,fairyloot,subscription,-16.0,Credit,Chase,Freedom
2024,December,12/03/2024,portland smog,misc,-25.0,Credit,Chase,Freedom
2024,December,12/03/2024,panda express,dining,-11.9,Credit,Chase,Freedom
2024,November,11/30/2024,target,grocery,-3.29,Credit,Chase,Freedom
2024,December,12/01/2024,asian family market,grocery,-25.84,Credit,Chase,Freedom
2024,November,11/30/2024,target,grocery,11.59,Credit,Chase,Freedom
2024,November,11/30/2024,target,grocery,-42.06,Credit,Chase,Freedom
2024,December,12/01/2024,hulu plus,subscription,-1.98,Credit,Chase,Freedom
2024,November,11/30/2024,kohl's,shopping,-32.0,Credit,Chase,Freedom
2024,November,11/29/2024,dutch bros,dining,-13.0,Credit,Chase,Freedom
2024,November,11/30/2024,chipotle,dining,-8.6,Credit,Chase,Freedom
2024,November,11/29/2024,tiktok,shopping,-39.0,Credit,Chase,Freedom
2024,November,11/29/2024,tj maxx,shopping,-29.97,Credit,Chase,Freedom
2024,November,11/29/2024,safeway,grocery,-10.97,Credit,Chase,Freedom
2024,November,11/27/2024,safeway,grocery,-29.71,Credit,Chase,Freedom
2024,November,11/25/2024,trader joe's,grocery,-10.27,Credit,Chase,Freedom
2024,November,11/25/2024,steam,shopping,-19.99,Credit,Chase,Freedom
2024,November,11/24/2024,sichuan taste,dining,-40.9,Credit,Chase,Freedom
2024,November,11/23/2024,panda express,dining,-10.98,Credit,Chase,Freedom
2024,November,11/23/2024,fred meyer,grocery,-10.86,Credit,Chase,Freedom
2024,November,11/22/2024,fred meyer,grocery,-48.63,Credit,Chase,Freedom
2024,November,11/20/2024,fred meyer,grocery,-7.99,Credit,Chase,Freedom
2024,November,11/21/2024,nexus mods,shopping,81.0,Credit,Chase,Freedom
2024,November,11/19/2024,target,grocery,-12.37,Credit,Chase,Freedom
2024,November,11/21/2024,nexus mods,shopping,-89.99,Credit,Chase,Freedom
2024,November,11/19/2024,h mart,grocery,-23.96,Credit,Chase,Freedom
2024,November,11/20/2024,sierra,shopping,-149.98,Credit,Chase,Freedom
2024,November,11/19/2024,home depot,shopping,-8.75,Credit,Chase,Freedom
2024,November,11/20/2024,sierra,shopping,-39.99,Credit,Chase,Freedom
2024,November,11/19/2024,target,grocery,-2.19,Credit,Chase,Freedom
2024,November,11/19/2024,transfer,transfer,770.05,Credit,Chase,Freedom
2024,November,11/19/2024,ups,shopping,-3.5,Credit,Chase,Freedom
2024,November,11/19/2024,sierra,shopping,-75.0,Credit,Chase,Freedom
2024,November,11/19/2024,tj maxx,shopping,-9.99,Credit,Chase,Freedom
2024,November,11/19/2024,ups,shopping,-2.0,Credit,Chase,Freedom
2024,November,11/17/2024,village merchants,shopping,-11.0,Credit,Chase,Freedom
2024,November,11/17/2024,house of vintage,shopping,-91.67,Credit,Chase,Freedom
2024,November,11/15/2024,safeway,grocery,-55.89,Credit,Chase,Freedom
2024,November,11/14/2024,screen door,dining,-67.1,Credit,Chase,Freedom
2024,November,11/14/2024,usps,shopping,-1.01,Credit,Chase,Freedom
2024,November,11/12/2024,steam,shopping,-39.99,Credit,Chase,Freedom
2024,November,11/11/2024,b&a photo,shopping,-81.98,Credit,Chase,Freedom
2024,November,11/11/2024,safeway,grocery,-5.83,Credit,Chase,Freedom
2024,November,11/11/2024,mcdonald's,dining,-1.0,Credit,Chase,Freedom
2024,November,11/11/2024,mcdonald's,dining,-1.49,Credit,Chase,Freedom
2024,November,11/11/2024,mcdonald's,dining,-1.49,Credit,Chase,Freedom
