ID,Year,Month,Day,Date,Description,Category,Amount,Type,Bank,Card
1,2025,March,11,03/11/2025,apple,shopping,-5.99,Credit,Bilt,Bilt
2,2025,March,08,03/08/2025,apple,shopping,-34.99,Credit,Bilt,Bilt
3,2025,March,07,03/07/2025,visible,utility,-25.0,Credit,Bilt,Bilt
4,2025,March,07,03/07/2025,visible,utility,-25.0,Credit,Bilt,Bilt
5,2025,March,05,03/05/2025,apple,shopping,-1.99,Credit,Bilt,Bilt
6,2025,March,03,03/03/2025,pge,utility,-91.76,Credit,Bilt,Bilt
7,2025,March,03,03/03/2025,prose rent,utility,-2255.94,Credit,Bilt,Bilt
8,2025,February,25,02/25/2025,xfinity internet,utility,-43.0,Credit,Bilt,Bilt
9,2025,February,21,02/21/2025,apple,shopping,-9.99,Credit,Bilt,Bilt
10,2025,February,20,02/20/2025,apple,shopping,-12.99,Credit,Bilt,Bilt
12,2025,February,15,02/15/2025,apple,shopping,-4.99,Credit,Bilt,Bilt
13,2025,February,11,02/11/2025,apple,shopping,-5.99,Credit,Bilt,Bilt
14,2025,February,07,02/07/2025,visible,utility,-25.0,Credit,Bilt,Bilt
15,2025,February,07,02/07/2025,visible,utility,-25.0,Credit,Bilt,Bilt
16,2025,February,03,02/03/2025,pge,utility,-57.8,Credit,Bilt,Bilt
17,2025,February,03,02/03/2025,prose rent,utility,-2288.76,Credit,Bilt,Bilt
18,2025,January,25,01/25/2025,apple,shopping,-2.98,Credit,Bilt,Bilt
19,2025,January,25,01/25/2025,xfinity internet,utility,-43.0,Credit,Bilt,Bilt
20,2025,January,21,01/21/2025,apple,shopping,-9.99,Credit,Bilt,Bilt
22,2025,January,11,01/11/2025,apple,shopping,-5.99,Credit,Bilt,Bilt
23,2025,January,07,01/07/2025,visible,utility,-25.0,Credit,Bilt,Bilt
24,2025,January,07,01/07/2025,visible,utility,-25.0,Credit,Bilt,Bilt
25,2025,January,04,01/04/2025,prose rent,utility,-2261.78,Credit,Bilt,Bilt
26,2025,January,02,01/02/2025,pge,utility,-88.59,Credit,Bilt,Bilt
27,2024,December,31,12/31/2024,walgreens,shopping,-8.6,Credit,Bilt,Bilt
28,2024,December,25,12/25/2024,xfinity internet,utility,-40.0,Credit,Bilt,Bilt
29,2024,December,25,12/25/2024,apple,shopping,-1.99,Credit,Bilt,Bilt
30,2024,December,21,12/21/2024,apple,shopping,-9.99,Credit,Bilt,Bilt
31,2024,December,12,12/12/2024,apple,shopping,-5.99,Credit,Bilt,Bilt
33,2024,December,07,12/07/2024,visible,utility,-25.0,Credit,Bilt,Bilt
34,2024,December,07,12/07/2024,visible,utility,-25.0,Credit,Bilt,Bilt
35,2024,December,03,12/03/2024,prose rent,utility,-2272.21,Credit,Bilt,Bilt
37,2024,December,02,12/02/2024,pge,utility,-67.46,Credit,Bilt,Bilt
38,2024,November,25,11/25/2024,apple,shopping,-1.99,Credit,Bilt,Bilt
39,2024,November,25,11/25/2024,xfinity internet,utility,-48.53,Credit,Bilt,Bilt
40,2024,November,21,11/21/2024,apple,shopping,-9.99,Credit,Bilt,Bilt
41,2024,November,16,11/16/2024,apple,shopping,-5.99,Credit,Bilt,Bilt
42,2024,April,22,04/22/2024,costco,grocery,-86.71,Credit,BofA,Custom
44,2024,April,12,04/12/2024,costco,grocery,-43.59,Credit,BofA,Custom
45,2024,April,12,04/12/2024,costco,grocery,-91.95,Credit,BofA,Custom
47,2024,April,08,04/08/2024,costco,grocery,-58.96,Credit,BofA,Custom
48,2024,April,06,04/06/2024,costco,grocery,-44.0,Credit,BofA,Custom
49,2024,April,05,04/05/2024,fairyloot,subscription,-34.9,Credit,BofA,Custom
50,2024,March,25,03/25/2024,costco,grocery,-59.53,Credit,BofA,Custom
51,2024,August,16,08/16/2024,fairyloot,subscription,34.9,Credit,BofA,Custom
52,2024,August,05,08/05/2024,fairyloot,subscription,-34.9,Credit,BofA,Custom
53,2025,March,04,03/04/2025,costco,grocery,-30.71,Credit,BofA,Custom
54,2025,March,04,03/04/2025,costco,grocery,-28.98,Credit,BofA,Custom
55,2025,March,04,03/04/2025,costco,grocery,-3.49,Credit,BofA,Custom
57,2024,December,17,12/17/2024,costco,grocery,-59.65,Credit,BofA,Custom
58,2024,December,17,12/17/2024,costco,grocery,-84.54,Credit,BofA,Custom
60,2024,December,13,12/13/2024,costco,grocery,-37.77,Credit,BofA,Custom
61,2024,December,11,12/11/2024,costco,grocery,-107.45,Credit,BofA,Custom
63,2024,December,10,12/10/2024,progressive,utility,4.57,Credit,BofA,Custom
64,2024,December,09,12/09/2024,costco,grocery,-38.29,Credit,BofA,Custom
65,2024,December,09,12/09/2024,costco,grocery,-143.38,Credit,BofA,Custom
66,2024,December,07,12/07/2024,costco,grocery,-29.12,Credit,BofA,Custom
67,2024,December,06,12/06/2024,progressive,utility,-417.0,Credit,BofA,Custom
68,2024,December,04,12/04/2024,costco,grocery,34.99,Credit,BofA,Custom
69,2024,December,02,12/02/2024,costco,grocery,-60.77,Credit,BofA,Custom
70,2024,November,26,11/26/2024,costco,grocery,-27.73,Credit,BofA,Custom
71,2024,November,26,11/26/2024,costco,grocery,-205.36,Credit,BofA,Custom
73,2025,February,20,02/20/2025,costco,grocery,-42.76,Credit,BofA,Custom
75,2025,February,12,02/12/2025,costco,grocery,-46.72,Credit,BofA,Custom
76,2025,February,10,02/10/2025,costco,grocery,-23.77,Credit,BofA,Custom
77,2025,February,01,02/01/2025,costco,grocery,-123.12,Credit,BofA,Custom
