Posted Date,Reference Number,Payee,Address,Amount
01/21/2025,24692165020109786962604,"WWW COSTCO COM 800-955-2292 WA","800-955-2292  WA ",-79.99
01/21/2025,02073500020847000063252,"BA ELECTRONIC PAYMENT","",254.55
01/14/2025,24943005014130788230892,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-339.85
01/14/2025,74943005014130788230889,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",29.99
01/14/2025,24943005014130788230876,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-1.99
01/10/2025,24943005010128441812076,"COSTCO GAS #0002 PORTLAND OR","PORTLAND      OR ",-37.14
01/10/2025,24943005010128421089208,"COSTCO WHSE #0002 PORTLAND OR","PORTLAND      OR ",-80.97
01/10/2025,24943005010128421089190,"COSTCO WHSE #0002 PORTLAND OR","PORTLAND      OR ",-2.49
01/06/2025,24943005005125425777769,"COSTCO GAS #0106 SEATTLE WA","SEATTLE       WA ",-42.91
01/03/2025,24943005003124177122987,"COSTCO GAS #0001 SEATTLE WA","SEATTLE       WA ",-33.57
01/03/2025,24943005003124150049579,"COSTCO WHSE #0001 SEATTLE WA","SEATTLE       WA ",-78.57
12/31/2024,24943004366122393325438,"COSTCO GAS #0006 TUKWILA WA","TUKWILA       WA ",-44.78
12/31/2024,24943004366122371173727,"COSTCO WHSE #0006 TUKWILA WA","TUKWILA       WA ",-67.44
12/28/2024,24231684362194629103750,"SAFEWAY FUEL1589 LEAVENWORTH WA","LEAVENWORTH   WA ",-30.56
