Posted Date,Reference Number,Payee,Address,Amount
06/19/2024,17173500020847000066104,"BA ELECTRONIC PAYMENT","",250.80
06/19/2024,17073500020847000071188,"BA ELECTRONIC PAYMENT","",888.25
06/12/2024,24692164163106114181295,"XFINITY MOBILE 888-936-4968 PA","888-936-4968  PA ",-54.18
06/10/2024,24692164161104456597576,"COMCAST CABLE COMM 800-COMCAST OR","800-COMCAST   OR ",-30.00
06/07/2024,24011344158000054323927,"FAIRYLOOT US HTTPSUS.FAIRYOR","HTTPSUS.FAIRY OR ",-38.00
06/04/2024,24492154155743645240100,"PORTLAND GENERAL ELECTRIC800-542-8818 OR","800-542-8818  OR ",-29.92
06/03/2024,24943004154898002072844,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-44.55
05/28/2024,24906414148201024666245,"WL *Steam Purchase 425-9522985 WA","425-9522985   WA ",-7.99
05/27/2024,24034544147005791385321,"76 - N & S OIL LLC PORTLAND OR","PORTLAND      OR ",-38.17
05/27/2024,24204294147001070720045,"STEAMGAMES.COM 4259522985425-8899642 WA","425-8899642   WA ",-7.99
