Date,Amount,*,*,Description
03/11/2025,-5.99,*,,APPLE.COM/BILL 866-712-7753 CA
03/08/2025,-34.99,*,,APPLE.COM/BILL 866-712-7753 CA
03/07/2025,-25.00,*,,VISIBLE 8663313527 CO
03/07/2025,-25.00,*,,VISIBLE 8663313527 CO
03/05/2025,-1.99,*,,APPLE.COM/BILL 866-712-7753 CA
03/03/2025,-91.76,*,,PORTLAND GENERAL ELECT 8005428818 OR
03/03/2025,-2255.94,*,,BPS*BILT REWARDS B NEW YORK NY
02/25/2025,-43.00,*,,COMCAST CABLE COMM 800-COMCAST OR
02/21/2025,-9.99,*,,APPLE.COM/BILL 866-712-7753 CA
02/20/2025,-12.99,*,,APPLE.COM/BILL 866-712-7753 CA
02/15/2025,2458.52,*,,Bill Pay Payment
02/15/2025,-4.99,*,,APPLE.COM/BILL 866-712-7753 CA
02/11/2025,-5.99,*,,APPLE.COM/BILL 866-712-7753 CA
02/07/2025,-25.00,*,,VISIBLE 8663313527 CO
02/07/2025,-25.00,*,,VISIBLE 8663313527 CO
02/03/2025,-57.80,*,,PORTLAND GENERAL ELECT 8005428818 OR
02/03/2025,-2288.76,*,,BPS*BILT REWARDS B NEW YORK NY
01/25/2025,-2.98,*,,APPLE.COM/BILL 866-712-7753 CA
01/25/2025,-43.00,*,,COMCAST CABLE COMM 800-COMCAST OR
01/21/2025,-9.99,*,,APPLE.COM/BILL 866-712-7753 CA
01/14/2025,2472.93,*,,Bill Pay Payment
01/11/2025,-5.99,*,,APPLE.COM/BILL 866-712-7753 CA
01/07/2025,-25.00,*,,VISIBLE 8663313527 CO
01/07/2025,-25.00,*,,VISIBLE 8663313527 CO
01/04/2025,-2261.78,*,,BPS*BILT REWARDS B NEW YORK NY
01/02/2025,-88.59,*,,PORTLAND GENERAL ELECT 8005428818 OR
12/31/2024,-8.60,*,,WALGREENS #6259 SEATTLE WA
12/25/2024,-40.00,*,,COMCAST CABLE COMM 800-COMCAST OR
12/25/2024,-1.99,*,,APPLE.COM/BILL 866-712-7753 CA
12/21/2024,-9.99,*,,APPLE.COM/BILL 866-712-7753 CA
12/12/2024,-5.99,*,,APPLE.COM/BILL 866-712-7753 CA
12/10/2024,2389.67,*,,Bill Pay Payment
12/07/2024,-25.00,*,,VISIBLE 8663313527 CO
12/07/2024,-25.00,*,,VISIBLE 8663313527 CO
12/03/2024,-2272.21,*,,BPS*BILT REWARDS B NEW YORK NY
12/02/2024,2485.32,*,,Bill Pay Payment
12/02/2024,-67.46,*,,PORTLAND GENERAL ELECT 8005428818 OR
11/25/2024,-1.99,*,,APPLE.COM/BILL 866-712-7753 CA
11/25/2024,-48.53,*,,COMCAST CABLE COMM 800-COMCAST OR
11/21/2024,-9.99,*,,APPLE.COM/BILL 866-712-7753 CA
11/16/2024,-5.99,*,,APPLE.COM/BILL 866-712-7753 CA
