Posted Date,Reference Number,Payee,Address,Amount
12/21/2024,35573500020847000092637,"BA ELECTRONIC PAYMENT","",75.45
12/17/2024,24943004352113519945288,"COSTCO GAS #0319 DEDHAM MA","DEDHAM        MA ",-59.65
12/17/2024,24943004352113509711112,"COSTCO WHSE #0305 NANUET NY","NANUET        NY ",-84.54
12/13/2024,24943004348110952297067,"CWC WDC LLC #1165 WASHINGTON DC","WASHINGTON    DC ",-45.16
12/13/2024,24943004348110944442912,"COSTCO WHSE #1120 WASHINGTON DC","WASHINGTON    DC ",-37.77
12/11/2024,24943004346109619961760,"COSTCO WHSE #0233 ARLINGTON VA","ARLINGTON     VA ",-107.45
12/11/2024,34573500020847000078506,"BA ELECTRONIC PAYMENT","",962.11
12/10/2024,74692164344102231818973,"PROGRESSIVE INS 800-776-4737 OH","800-776-4737  OH ",4.57
12/09/2024,24943004344108525772131,"COSTCO GAS #0002 PORTLAND OR","PORTLAND      OR ",-38.29
12/09/2024,24943004344108509089825,"COSTCO WHSE #0002 PORTLAND OR","PORTLAND      OR ",-143.38
12/07/2024,24943004342107316443573,"COSTCO GAS #1703 RIDGEFIELD WA","RIDGEFIELD    WA ",-29.12
12/06/2024,24692164341101942369803,"PROGRESSIVE *INSURANCE 800-776-4737 OH","800-776-4737  OH ",-417.00
12/04/2024,74943004339105300099567,"COSTCO WHSE #0002 PORTLAND OR","PORTLAND      OR ",34.99
12/02/2024,24943004336103371233627,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-60.77
11/26/2024,24943004331100309845071,"COSTCO GAS #0002 PORTLAND OR","PORTLAND      OR ",-27.73
11/26/2024,24943004331100280101676,"COSTCO WHSE #0002 PORTLAND OR","PORTLAND      OR ",-205.36
